0,time,open,high,low,close,adjclose,volume,code
1,"September 04, 2012",95.108574,96.44856999999999,94.928574,96.424286,87.12114,91973000,AAPL
2,"September 05, 2012",96.510002,96.621429,95.657143,95.747147,86.509338,84093800,AAPL
3,"September 06, 2012",96.16714499999999,96.898575,95.828575,96.610001,87.288956,97799100,AAPL
4,"September 07, 2012",96.864288,97.497147,96.538574,97.205711,87.82717099999999,82416600,AAPL
5,"September 10, 2012",97.207146,97.612854,94.585716,94.677139,85.542564,121999500,AAPL
6,"September 11, 2012",95.01571700000001,95.728569,93.785713,94.370003,85.265068,125995800,AAPL
7,"September 12, 2012",95.264282,95.699997,93.714287,95.684288,86.452538,178058300,AAPL
8,"September 13, 2012",96.767143,97.928574,96.395714,97.568573,88.155037,149590000,AAPL
9,"September 14, 2012",98.565712,99.568573,98.269997,98.754288,89.226341,150118500,AAPL
10,"September 17, 2012",99.907143,99.971428,99.230003,99.968575,90.323479,99507800,AAPL
11,"September 18, 2012",99.982857,100.33285500000001,99.488571,100.272858,90.598404,93375800,AAPL
12,"September 19, 2012",100.03714000000001,100.57,99.938568,100.300003,90.62293199999999,81718700,AAPL
13,"September 20, 2012",99.879997,100.00856800000001,99.08856999999999,99.814285,90.18409,84142100,AAPL
14,"September 21, 2012",100.344284,100.724289,99.908569,100.012856,90.363457,142897300,AAPL
15,"September 24, 2012",98.122856,99.302856,97.571426,98.684288,89.163078,159941600,AAPL
16,"September 25, 2012",98.322861,98.968575,96.14286,96.220001,86.936554,129697400,AAPL
17,"September 26, 2012",95.534286,96.09857199999999,94.457146,95.025711,85.857506,144125800,AAPL
18,"September 27, 2012",94.898575,97.45285799999999,94.335716,97.331429,87.94075,148522500,AAPL
19,"September 28, 2012",96.964287,97.30143000000001,95.25,95.300003,86.105347,133777700,AAPL
20,"October 01, 2012",95.879997,96.678574,93.785713,94.19856999999999,85.110161,135898700,AAPL
21,"October 02, 2012",94.544289,95.192856,92.949997,94.47285500000001,85.358002,156998100,AAPL
22,"October 03, 2012",94.980003,95.980003,94.66143000000001,95.921425,86.66681700000001,106070300,AAPL
23,"October 04, 2012",95.89286,96.321426,95.078575,95.257141,86.066612,92681400,AAPL
24,"October 05, 2012",95.028572,95.14286,93.040001,93.227142,84.23246,148501500,AAPL
25,"October 08, 2012",92.41143000000001,92.50856800000001,90.872856,91.16714499999999,82.371223,159498500,AAPL
26,"October 09, 2012",91.235718,91.498573,89.078575,90.835716,82.071747,209649300,AAPL
27,"October 10, 2012",91.391426,92.139999,91.0,91.558571,82.724876,127589000,AAPL
28,"October 11, 2012",92.35714,92.457146,89.728569,89.728569,81.071426,136520300,AAPL
29,"October 12, 2012",89.937141,90.76857,89.328575,89.958572,81.27924300000001,115003700,AAPL
30,"October 15, 2012",90.335716,90.732857,89.121429,90.68,81.931084,108125500,AAPL
31,"October 16, 2012",90.767143,92.900002,90.14286,92.827141,83.87105600000001,137442900,AAPL
32,"October 17, 2012",92.695717,93.255714,92.0,92.08714300000001,83.202446,97259400,AAPL
33,"October 18, 2012",91.370003,91.72285500000001,90.0,90.377144,81.657455,119156100,AAPL
34,"October 19, 2012",90.150002,90.252853,87.08856999999999,87.120003,78.714554,186021500,AAPL
35,"October 22, 2012",87.488571,90.76857,87.251427,90.575714,81.836838,136682700,AAPL
36,"October 23, 2012",90.14286,90.557144,87.385712,87.622856,79.168869,176786400,AAPL
37,"October 24, 2012",88.77714499999999,89.507141,87.23428299999999,88.11856800000001,79.616783,139631800,AAPL
38,"October 25, 2012",88.571426,88.85714,86.507141,87.077141,78.675812,164081400,AAPL
39,"October 26, 2012",87.061432,87.714287,84.428574,86.285713,77.960747,254608200,AAPL
40,"October 31, 2012",84.982857,85.994286,83.957146,85.045715,76.840401,127500800,AAPL
41,"November 01, 2012",85.459999,86.14286,84.88143199999999,85.220001,76.997864,90324500,AAPL
42,"November 02, 2012",85.127144,85.278572,82.10714,82.400002,74.449928,149843400,AAPL
43,"November 05, 2012",83.360001,83.96714,82.514282,83.517143,75.45929,132283900,AAPL
44,"November 06, 2012",84.318573,84.391426,82.870003,83.264282,75.230835,93729300,AAPL
45,"November 07, 2012",81.977142,82.077141,79.39286,79.714287,72.35231,198412200,AAPL
46,"November 08, 2012",80.089996,80.318573,76.470001,76.821426,69.726601,264036500,AAPL
47,"November 09, 2012",77.20285799999999,79.26857,76.245712,78.15142800000001,70.933784,232478400,AAPL
48,"November 12, 2012",79.164284,79.214287,76.949997,77.54714200000001,70.385323,128950500,AAPL
49,"November 13, 2012",76.987144,78.639999,76.622856,77.557144,70.39439399999999,133237300,AAPL
50,"November 14, 2012",77.928574,78.207146,76.597145,76.697144,69.613815,119292600,AAPL
51,"November 15, 2012",76.790001,77.071426,74.660004,75.08856999999999,68.153778,197477700,AAPL
52,"November 16, 2012",75.028572,75.714287,72.25,75.382858,68.420891,316723400,AAPL
53,"November 19, 2012",77.244286,81.071426,77.12571700000001,80.818573,73.354591,205829400,AAPL
54,"November 20, 2012",81.701431,81.707146,79.225716,80.129997,72.729614,160688500,AAPL
55,"November 21, 2012",80.60714,81.052856,79.514282,80.242859,72.83206899999999,93250500,AAPL
56,"November 23, 2012",81.024284,81.714287,80.371429,81.64286,74.10276,68206600,AAPL
57,"November 26, 2012",82.271431,84.285713,81.958572,84.218575,76.440598,157644900,AAPL
58,"November 27, 2012",84.221428,84.345711,82.871429,83.540001,75.82470699999999,133332500,AAPL
59,"November 28, 2012",82.46714,83.685715,81.751427,83.27714499999999,75.58612099999999,130216100,AAPL
60,"November 29, 2012",84.317146,84.89286,83.60714,84.194283,76.41855600000001,128674700,AAPL
61,"November 30, 2012",83.827141,84.057144,83.239998,83.611427,75.889534,97829900,AAPL
62,"December 03, 2012",84.807144,84.941429,83.64286,83.74143199999999,76.00752299999999,91070000,AAPL
63,"December 04, 2012",83.114288,83.114288,81.732857,82.264282,74.666801,139267100,AAPL
64,"December 05, 2012",81.272858,81.321426,76.96714,76.970001,69.861458,261159500,AAPL
65,"December 06, 2012",75.562859,79.044289,74.089996,78.177139,70.957123,294303100,AAPL
66,"December 07, 2012",79.057144,79.314285,75.714287,76.178574,69.143127,196760200,AAPL
67,"December 10, 2012",75.0,76.93,74.511429,75.688568,68.69838,157621100,AAPL
68,"December 11, 2012",77.110001,78.50856800000001,76.767143,77.341431,70.198608,148086400,AAPL
69,"December 12, 2012",78.252853,78.285713,76.610001,77.0,69.88871,121786000,AAPL
70,"December 13, 2012",75.878571,76.805717,75.114288,75.66999799999999,68.681526,156314900,AAPL
71,"December 14, 2012",73.535713,74.01857,72.225716,72.827141,66.10123399999999,252394800,AAPL
72,"December 17, 2012",72.704285,74.285713,71.604286,74.11856800000001,67.27336899999999,189401800,AAPL
73,"December 18, 2012",75.0,76.414284,74.321426,76.271431,69.227417,156421300,AAPL
74,"December 19, 2012",75.924286,76.242859,75.071426,75.187141,68.243271,112342300,AAPL
75,"December 20, 2012",75.714287,75.742859,74.12571700000001,74.53286,67.649422,120422400,AAPL
76,"December 21, 2012",73.209999,74.238571,72.891426,74.190002,67.338219,149067100,AAPL
77,"December 24, 2012",74.335716,74.89286,74.101425,74.309998,67.447121,43938300,AAPL
78,"December 26, 2012",74.14286,74.208572,73.017143,73.285713,66.517448,75609100,AAPL
79,"December 27, 2012",73.362854,73.75,72.094284,73.58000200000001,66.784554,113780100,AAPL
80,"December 28, 2012",72.898575,73.497147,72.58856999999999,72.798569,66.07527900000001,88569600,AAPL
81,"December 31, 2012",72.932854,76.485718,72.714287,76.024284,69.00308199999999,164873100,AAPL
82,"January 02, 2013",79.117142,79.285713,77.37571700000001,78.432854,71.189217,140129500,AAPL
83,"January 03, 2013",78.26857,78.524284,77.285713,77.442856,70.290649,88241300,AAPL
84,"January 04, 2013",76.709999,76.947144,75.11856800000001,75.285713,68.332726,148583400,AAPL
85,"January 07, 2013",74.571426,75.614288,73.599998,74.842857,67.930763,121039100,AAPL
86,"January 08, 2013",75.601425,75.98428299999999,74.464287,75.044289,68.11359399999999,114676800,AAPL
87,"January 09, 2013",74.64286,75.001427,73.71285999999999,73.871429,67.049049,101901100,AAPL
88,"January 10, 2013",75.507141,75.531425,73.645714,74.78714000000001,67.880211,150286500,AAPL
