Date,Open,Close,High,Low,Adj Close,Volume,Open_after_wavelet,Close_after_wavelet,High_after_wavelet,Low_after_wavelet
2012-09-04,126340.0,126279.0,126654.0,126077.0,126279.0,24300,123666.81798942137,124447.83952659751,125358.09531217185,123790.18331885572
2012-09-05,126315.0,127770.0,128000.0,126315.0,127770.0,68700,123666.81798942137,124447.83952659751,125358.09531217185,123790.18331885572
2012-09-06,128050.0,129597.0,129597.0,128050.0,129597.0,80900,126307.81798942137,127192.83952659753,127849.09531217186,126424.18331885568
2012-09-07,129887.0,129942.0,130039.0,129610.0,129942.0,90900,126307.81798942137,127192.83952659753,127849.09531217186,126424.18331885568
2012-09-10,129961.0,129700.0,130717.0,129700.0,129700.0,39800,127442.31798942137,127358.33952659751,128573.09531217185,127295.18331885568
2012-09-11,130245.0,130170.0,130367.0,129702.0,130170.0,43200,127442.31798942137,127358.33952659751,128573.09531217185,127295.18331885568
2012-09-12,129590.0,130150.0,130540.0,129225.0,130150.0,52800,127019.31798942137,128923.8395265975,129726.59531217185,127091.68331885568
2012-09-13,129770.0,132851.0,132851.0,129770.0,132851.0,86900,127019.31798942137,128923.8395265975,129726.59531217185,127091.68331885568
2012-09-14,132850.0,133000.0,133789.0,132005.0,133000.0,85500,130114.31798942138,130265.8395265975,131476.09531217188,129841.68331885568
2012-09-17,132700.0,132685.0,133101.0,132490.0,132685.0,42000,130114.31798942138,130265.8395265975,131476.09531217188,129841.68331885568
2012-09-18,132350.0,132898.0,132898.0,132324.0,132898.0,37300,129871.81798942137,130522.33952659753,131385.09531217185,130113.68331885568
2012-09-19,132715.0,133300.0,133810.0,132715.0,133300.0,63600,129871.81798942137,130522.33952659753,131385.09531217185,130113.68331885568
2012-09-20,132125.0,133816.0,134205.0,131935.0,133816.0,49000,130646.81798942137,131623.33952659753,132579.59531217185,130528.68331885568
2012-09-21,134490.0,134584.0,134892.0,133934.0,134584.0,38700,130646.81798942137,131623.33952659753,132579.59531217185,130528.68331885568
2012-09-24,133505.0,133034.0,134535.0,133000.0,133034.0,38500,130765.8179894214,130182.8395265975,132336.09531217185,130179.18331885568
2012-09-25,133348.0,132485.0,134075.0,132170.0,132485.0,47700,130765.8179894214,130182.8395265975,132336.09531217185,130179.18331885568
2012-09-26,132199.0,132490.0,133590.0,132199.0,132490.0,39200,129938.8179894214,129872.33952659754,131326.09531217185,129751.18331885568
2012-09-27,133000.0,132408.0,133000.0,132115.0,132408.0,63200,129938.8179894214,129872.33952659754,131326.09531217185,129751.18331885568
2012-09-28,132375.0,132700.0,132707.0,131212.0,132700.0,72600,129841.81798942138,130273.33952659751,131527.09531217185,129515.1833188557
2012-10-01,132630.0,133000.0,134285.0,132630.0,133000.0,67200,129841.81798942138,130273.33952659751,131527.09531217185,129515.1833188557
2012-10-02,133600.0,133227.0,133911.0,132595.0,133227.0,41000,130889.31798942141,131069.33952659751,132216.59531217185,130301.68331885569
2012-10-03,133500.0,134065.0,134460.0,132820.0,134065.0,50500,130889.31798942141,131069.33952659751,132216.59531217185,130301.68331885569
2012-10-04,134475.0,135281.0,135725.0,134461.0,135281.0,69800,132526.81798942137,132841.33952659753,133943.59531217185,132403.18331885568
2012-10-05,135900.0,135555.0,136100.0,135157.0,135555.0,59300,132526.81798942137,132841.33952659753,133943.59531217185,132403.18331885568
2012-10-08,135602.0,135400.0,135915.0,135180.0,135400.0,28100,132740.31798942137,132063.33952659753,133838.59531217188,132124.18331885568
2012-10-09,135200.0,133880.0,135700.0,133880.0,133880.0,40200,132740.31798942137,132063.33952659753,133838.59531217188,132124.18331885568
2012-10-10,133880.0,133066.0,134115.0,132800.0,133066.0,29400,131479.3179894214,130462.83952659753,132288.59531217185,130499.18331885568
2012-10-11,134400.0,133013.0,134400.0,133010.0,133013.0,19300,131479.3179894214,130462.83952659753,132288.59531217185,130499.18331885568
2012-10-12,133740.0,132502.0,134327.0,132341.0,132502.0,32400,130584.31798942137,130476.83952659754,132122.09531217188,129979.68331885569
2012-10-15,132750.0,133605.0,133855.0,132430.0,133605.0,29300,130584.31798942137,130476.83952659754,132122.09531217188,129979.68331885569
2012-10-16,134000.0,134850.0,134970.0,134000.0,134850.0,35600,131539.31798942137,132731.33952659753,133440.59531217185,131794.18331885568
2012-10-17,134400.0,135766.0,135849.0,134400.0,135766.0,74900,131539.31798942137,132731.33952659753,133440.59531217185,131794.18331885568
2012-10-18,135800.0,135400.0,136345.0,135400.0,135400.0,76800,132914.3179894214,132043.83952659753,133915.09531217188,131694.18331885568
2012-10-19,135350.0,133841.0,135423.0,132800.0,133841.0,47700,132914.3179894214,132043.83952659753,133915.09531217188,131694.18331885568
2012-10-22,133643.0,132609.0,134000.0,131800.0,132609.0,61800,129785.81798942137,129012.83952659751,130831.09531217188,128624.68331885569
2012-10-23,131250.0,130570.0,131600.0,130261.0,130570.0,78900,129785.81798942137,129012.83952659751,130831.09531217188,128624.68331885569
2012-10-24,131357.0,130445.0,131555.0,130265.0,130445.0,48800,128547.81798942138,127936.83952659751,129338.59531217188,127850.68331885569
2012-10-25,131060.0,130582.0,131060.0,130248.0,130582.0,46100,128547.81798942138,127936.83952659751,129338.59531217188,127850.68331885569
2012-10-26,130899.0,129725.0,130899.0,129475.0,129725.0,56800,128038.81798942138,127038.3395265975,128730.59531217186,126963.68331885572
2012-10-31,130500.0,129505.0,130500.0,129264.0,129505.0,100900,128038.81798942138,127038.3395265975,128730.59531217186,126963.68331885572
2012-11-01,130053.0,131400.0,131433.0,129784.0,131400.0,81600,128684.81798942137,128398.33952659753,130066.59531217186,127687.1833188557
2012-11-02,132638.0,130550.0,132638.0,130402.0,130550.0,28600,128684.81798942137,128398.33952659753,130066.59531217186,127687.1833188557
2012-11-05,130755.0,130300.0,130755.0,128150.0,130300.0,78000,127974.81798942137,127909.83952659754,128941.59531217183,126654.68331885569
2012-11-06,130516.0,130673.0,131066.0,129971.0,130673.0,68000,127974.81798942137,127909.83952659754,128941.59531217183,126654.68331885569
2012-11-07,130205.0,128359.0,130228.0,127962.0,128359.0,60500,126744.3179894214,125052.83952659753,128000.59531217189,125025.18331885568
2012-11-08,128605.0,126900.0,129711.0,126900.0,126900.0,79800,126744.3179894214,125052.83952659753,128000.59531217189,125025.18331885568
2012-11-09,126847.0,127585.0,128738.0,125950.0,127585.0,72600,124887.81798942137,125295.83952659751,126649.09531217185,124465.68331885569
2012-11-12,128250.0,128160.0,128498.0,127793.0,128160.0,50700,124887.81798942137,125295.83952659751,126649.09531217185,124465.68331885569
2012-11-13,127845.0,128925.0,130110.0,127659.0,128925.0,63600,126134.31798942138,125960.83952659751,127958.59531217189,125323.68331885569
2012-11-14,129745.0,128150.0,129745.0,127800.0,128150.0,83200,126134.31798942138,125960.83952659751,127958.59531217189,125323.68331885569
