Date,Open,Close,High,Low,Adj Close,Volume,Open_after_wavelet,Close_after_wavelet,High_after_wavelet,Low_after_wavelet
2012-09-04,77.57,77.08000200000001,77.800003,76.730003,77.08000200000001,301500,73.69204920900289,73.97906132021234,75.502225898792,73.64718438802355
2012-09-05,77.32,78.160004,79.589996,76.949997,78.160004,483500,73.69204920900289,73.97906132021234,75.502225898792,73.64718438802355
2012-09-06,78.75,79.279999,79.360001,78.099998,79.279999,357400,75.1520482090029,75.07405882021234,76.09222639879201,74.82218338802356
2012-09-07,79.059998,78.150002,79.209999,77.93,78.150002,388200,75.1520482090029,75.07405882021234,76.09222639879201,74.82218338802356
2012-09-10,78.220001,77.800003,78.660004,77.68,77.800003,272600,74.3870487090029,74.70906082021233,75.997228898792,74.33718288802356
2012-09-11,78.059998,78.900002,79.720001,77.379997,78.900002,663200,74.3870487090029,74.70906082021233,75.997228898792,74.33718288802356
2012-09-12,78.860001,80.199997,82.209999,78.660004,80.199997,1048800,75.6470507090029,77.27405532021234,79.04722439879203,75.99218588802354
2012-09-13,79.940002,81.629997,82.269997,79.709999,81.629997,484900,75.6470507090029,77.27405532021234,79.04722439879203,75.99218588802354
2012-09-14,81.540001,82.540001,83.410004,81.43,82.540001,421800,78.3720492090029,77.99905782021234,79.88222739879201,77.75718488802356
2012-09-17,82.709999,80.739998,82.739998,80.470001,80.739998,389700,78.3720492090029,77.99905782021234,79.88222739879201,77.75718488802356
2012-09-18,80.199997,79.889999,80.730003,79.800003,79.889999,316900,76.3470477090029,76.49405632021235,77.452226898792,76.29218488802354
2012-09-19,80.0,80.379997,80.559998,79.16999799999999,80.379997,834800,76.3470477090029,76.49405632021235,77.452226898792,76.29218488802354
2012-09-20,79.940002,80.279999,80.870003,79.769997,80.279999,242500,76.7020507090029,76.21405782021233,78.16722689879201,76.04218138802356
2012-09-21,80.970001,79.43,81.849998,78.699997,79.43,921700,76.7020507090029,76.21405782021233,78.16722689879201,76.04218138802356
2012-09-24,77.83000200000001,76.370003,78.82,75.660004,76.370003,1288600,73.5920507090029,72.26406082021235,74.76722539879201,72.31718688802356
2012-09-25,76.860001,75.440002,77.099998,75.360001,75.440002,703200,73.5920507090029,72.26406082021235,74.76722539879201,72.31718688802356
2012-09-26,75.349998,74.889999,75.470001,73.010002,74.889999,1151500,71.44704970900291,71.40905732021233,72.487226398792,70.52218438802355
2012-09-27,75.050003,75.209999,75.889999,74.41999799999999,75.209999,656700,71.44704970900291,71.40905732021233,72.487226398792,70.52218438802355
2012-09-28,75.029999,75.059998,75.739998,74.07,75.059998,623900,71.4320467090029,71.39405832021232,72.69722589879201,71.14218338802354
2012-10-01,75.339996,75.010002,76.040001,74.599998,75.010002,497800,71.4320467090029,71.39405832021232,72.69722589879201,71.14218338802354
2012-10-02,75.059998,75.5,76.760002,75.059998,75.5,752100,71.7020472090029,72.48905932021235,73.93722739879202,72.09718188802356
2012-10-03,75.849998,76.760002,77.5,75.519997,76.760002,540200,71.7020472090029,72.48905932021235,73.93722739879202,72.09718188802356
2012-10-04,77.120003,77.379997,77.589996,76.209999,77.379997,409700,73.5820522090029,73.31405632021234,74.492223898792,73.13218488802356
2012-10-05,77.550003,76.529999,77.779999,76.440002,76.529999,421000,73.5820522090029,73.31405632021234,74.492223898792,73.13218488802356
2012-10-08,76.290001,76.029999,76.43,75.440002,76.029999,338600,72.4720517090029,72.41405882021235,73.13222689879201,72.42218588802355
2012-10-09,76.160004,76.08000200000001,76.220001,75.790001,76.08000200000001,911000,72.4720517090029,72.41405882021235,73.13222689879201,72.42218588802355
2012-10-10,76.040001,75.980003,76.800003,75.620003,75.980003,337800,72.3920497090029,72.40906132021233,73.637228398792,72.14218738802356
2012-10-11,76.25,76.120003,76.860001,75.050003,76.120003,461200,72.3920497090029,72.40906132021233,73.637228398792,72.14218738802356
2012-10-12,75.83000200000001,76.129997,76.970001,75.57,76.129997,285900,72.2120492090029,72.78905832021235,73.99222789879201,72.59718538802355
2012-10-15,76.099998,76.730003,77.400002,76.010002,76.730003,294200,72.2120492090029,72.78905832021235,73.99222789879201,72.59718538802355
2012-10-16,77.019997,76.650002,77.230003,76.279999,76.650002,515800,72.99204820900289,73.52906032021234,74.56722839879201,73.18218438802356
2012-10-17,76.470001,77.690002,78.290001,76.470001,77.690002,405200,72.99204820900289,73.52906032021234,74.56722839879201,73.18218438802356
2012-10-18,77.300003,78.510002,78.68,76.989998,78.510002,317300,74.10205270900292,74.88405982021233,75.43722739879202,73.86218488802355
2012-10-19,78.410004,78.540001,78.58000200000001,77.120003,78.540001,854000,74.10205270900292,74.88405982021233,75.43722739879202,73.86218488802355
2012-10-22,78.139999,78.16999799999999,79.08000200000001,77.610001,78.16999799999999,650400,73.92704920900292,73.53905832021235,76.32222589879201,73.26718388802355
2012-10-23,77.220001,76.190002,79.949997,75.309998,76.190002,1179800,73.92704920900292,73.53905832021235,76.32222589879201,73.26718388802355
2012-10-24,76.279999,76.089996,77.07,75.639999,76.089996,758000,72.8420507090029,72.49905732021236,74.152227898792,72.63718238802355
2012-10-25,76.910004,76.190002,77.620003,76.019997,76.190002,299800,72.8420507090029,72.49905732021236,74.152227898792,72.63718238802355
2012-10-26,75.800003,76.57,76.730003,75.41999799999999,76.57,432000,72.42205220900291,73.34906032021232,74.07722689879199,72.51218238802355
2012-10-31,76.550003,77.410004,77.809998,75.989998,77.410004,533700,72.42205220900291,73.34906032021232,74.07722689879199,72.51218238802355
2012-11-01,77.199997,77.75,77.989998,76.809998,77.75,599300,73.4470462090029,72.78405732021236,74.88722439879201,72.71718438802355
2012-11-02,77.199997,75.099998,78.16999799999999,75.010002,75.099998,727000,73.4470462090029,72.78405732021236,74.88722439879201,72.71718438802355
2012-11-05,73.0,72.940002,73.239998,71.07,72.940002,1861800,67.75205020900292,68.63906082021235,69.73222589879201,67.34718538802355
2012-11-06,70.010002,71.620003,72.610001,70.010002,71.620003,2566500,67.75205020900292,68.63906082021235,69.73222589879201,67.34718538802355
2012-11-07,70.849998,69.470001,71.610001,69.0,69.470001,1948800,66.6070497090029,65.22405982021235,67.59222639879201,65.40718288802354
2012-11-08,69.870003,68.260002,69.959999,68.199997,68.260002,704400,66.6070497090029,65.22405982021235,67.59222639879201,65.40718288802354
2012-11-09,68.239998,68.720001,69.720001,68.0,68.720001,512400,65.0020467090029,65.21905882021234,66.512227898792,64.99718288802354
2012-11-12,69.269997,69.0,69.690002,68.379997,69.0,467000,65.0020467090029,65.21905882021234,66.512227898792,64.99718288802354
2012-11-13,68.480003,68.940002,69.150002,68.25,68.940002,675100,65.0270517090029,64.57905932021234,65.93722789879202,64.52218438802356
2012-11-14,69.08000200000001,67.5,69.110001,67.18,67.5,667300,65.0270517090029,64.57905932021234,65.93722789879202,64.52218438802356
