Date,Open,Close,High,Low,Adj Close,Volume,Open_after_wavelet,Close_after_wavelet,High_after_wavelet,Low_after_wavelet
2012-09-04,10.98,10.98,11.08,10.98,10.874151,7400,10.699928209412779,10.760942567530215,10.782932587753594,10.74094256753022
2012-09-05,10.98,10.99,10.99,10.95,10.884055,22600,10.699928209412779,10.760942567530215,10.782932587753594,10.74094256753022
2012-09-06,11.0,10.93,11.1,10.92,10.824634,23600,10.719928209412778,10.730942567530212,10.797932587753593,10.710942567530221
2012-09-07,11.0,10.98,11.0,10.95,10.874151,88500,10.719928209412778,10.730942567530212,10.797932587753593,10.710942567530221
2012-09-10,10.96,10.99,11.06,10.96,10.884055,87000,10.69492820941278,10.780942567530214,10.802932587753595,10.750942567530222
2012-09-11,10.99,11.02,11.05,10.99,10.913767,12700,10.69492820941278,10.780942567530214,10.802932587753595,10.750942567530222
2012-09-12,10.98,11.1,11.25,10.98,10.992995,33300,10.734928209412777,10.825942567530214,10.897932587753594,10.745942567530221
2012-09-13,11.05,11.0,11.05,10.96,10.893958999999999,149900,10.734928209412777,10.825942567530214,10.897932587753594,10.745942567530221
2012-09-14,10.99,11.01,11.04,10.95,10.903863000000001,27900,10.729928209412778,10.785942567530213,10.792932587753594,10.75094256753022
2012-09-17,11.03,11.01,11.05,11.0,10.903863000000001,42400,10.729928209412778,10.785942567530213,10.792932587753594,10.75094256753022
2012-09-18,11.07,11.05,11.1,11.0,10.943477,52700,10.779928209412779,10.845942567530216,10.842932587753594,10.800942567530223
2012-09-19,11.05,11.09,11.09,11.05,10.983091,15600,10.779928209412779,10.845942567530216,10.842932587753594,10.800942567530223
2012-09-20,11.01,11.0,11.04,10.98,10.893958999999999,40900,10.749928209412777,10.805942567530213,10.817932587753594,10.755942567530221
2012-09-21,11.05,11.06,11.1,10.98,10.953381,96200,10.749928209412777,10.805942567530213,10.817932587753594,10.755942567530221
2012-09-24,11.06,11.05,11.07,11.05,10.943477,1700,10.784928209412778,10.865942567530215,10.847932587753593,10.830942567530222
2012-09-25,11.07,11.13,11.13,11.06,11.022706,11100,10.784928209412778,10.865942567530215,10.847932587753593,10.830942567530222
2012-09-26,11.1,11.15,11.15,11.1,11.042513,8900,10.834928209412778,11.100942567530211,11.072932587753591,10.890942567530221
2012-09-27,11.13,11.5,11.5,11.13,11.389139,4000,10.834928209412778,11.100942567530211,11.072932587753591,10.890942567530221
